model_label,model_name,model_n_layers,model_d_model,model_n_heads,model_n_params,condition,n_cases,mean_final_correct_rate,sum_final_correct_rate,selection_agreement_rate,correctness_agreement_rate,n_selection_disagreements,n_correctness_disagreements
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,ambiguous_prodrop,6,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,6,2
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_mixed_token_dinlenmek,6,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,4,4
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,control_token_matched_yapmak,6,0.5,0.5,1.0,1.0,0,0
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,possessive_person,6,0.5,0.5,0.3333333333333333,0.6666666666666666,4,2
turkish-gpt2,ytu-ce-cosmos/turkish-gpt2,12,768,12,124439808,prior_predicate_person,6,0.8333333333333334,0.5,0.5,0.6666666666666666,3,2
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,ambiguous_prodrop,6,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,6,2
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_mixed_token_dinlenmek,6,0.6666666666666666,0.5,0.3333333333333333,0.5,4,3
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,control_token_matched_yapmak,6,0.6666666666666666,0.6666666666666666,1.0,1.0,0,0
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,possessive_person,6,0.5,0.5,0.6666666666666666,0.6666666666666666,2,2
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,24,1024,16,354823168,prior_predicate_person,6,0.5,0.5,0.3333333333333333,0.3333333333333333,4,4
